product_brand,product_title,predicted_category,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary
The Skin Shark,Clearing Serum,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
The Skin Shark,Spot Treatment,Acne Treatment,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
C9 Beauty,Face Cream,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Le-kku,CBD Day Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1
Le-kku,CBD Face Serum,Face Serum,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
Le-kku,CBD Hyaluronic Face Serum,Face Serum,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
Le-kku,CBD Face Scrub,Exfoliant/Scrub,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
Le-kku,CBD Face Cleansing Milk,Face Cleanser,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
This Place,The Glow,Brightening Treatment,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
InstaNatural,", Triple Strength Vitamin C Serum, Anti-Aging",Face Serum,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1
Teatrical,Serum Facial Anti Arrugas,Face Serum,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1
InstaNatural,2.5% Retinol Bakuchiol Serum,Face Serum,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1
InstaNatural,Anti-Aging Collagen Serum,Face Serum,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1
Control Corrective,Beyond Brightening Complex,Brightening Treatment,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1
Lume' Bio,Overnight Restorative Serum,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
ReVitalize,Age Defying Skin Serum,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
Regimen Lab,C.r.e.a.m Skin Barrier Moisturizer (2.0),Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Regimen Lab,C.r.e.a.m 2.0,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Truth Treatment Systems,Vita Mask,Face Mask,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1
Redken,Frizz Dismiss Sulfate-Free Conditioner,Conditioner,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Avon,Anew Rejuvenate Day Revitalizing Cream SPF 25,Sunscreen,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
Avon,Anew Reversalist Night Revitalising Cream,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
L'Oreal,Elvive Extraordinary Oil Multi-Use Mask,Face Mask,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
Avon,Creme Facial Renew Clareador E Textura Uniforme,Face Moisturizer,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Sure,Women Wild Rose 72hr Whole Body Deodorant Spray,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
Biolage,Strength Recovery Deep Treatment Pack,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Garnier,"Fructis Grow Strong Thickening 10-in-1 Spray, Biotin-c",Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1
Garnier Fructis,Crema Sin Aclarado 10 En 1 Fuerza & Brillo,Face Moisturizer,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1
Avon,Anew Pollution Protect+ 15-Minute Kaolin Clay Face Mask,Face Mask,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Matrix,Food For Soft Hair Mask,Face Mask,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Avon,Renew Solar Avance Matte Antioleosidade e antiedade FPS 50,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
