predicted_category,confidence,total_ingredients,abrasive_scrub,absorbent_mattifier,anti-acne,antimicrobial_antibacterial,antioxidant,astringent,buffering,cell-communicating_ingredient,chelating,colorant,deodorant,emollient,emulsifying,emulsion_stabilising,exfoliant,moisturizer_humectant,perfuming,preservative,skin_brightening,skin-identical_ingredient,solvent,soothing,sunscreen,surfactant_cleansing,viscosity_controlling,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary,superstar_count,goodie_count,icky_count,superstar_percentage,goodie_percentage,icky_percentage,avg_irritancy,max_irritancy,avg_comedogenicity,max_comedogenicity,safety_concern_ingredients,function_diversity,total_functions,avg_functions_per_ingredient
Face Serum,0.95,30,0,0,0,0,4,0,1,1,1,0,0,6,4,0,0,0,1,2,0,2,5,1,0,0,4,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,5,0,0.03333333333333333,0.16666666666666666,0.0,0.0,0,0.5555555555555556,3,1,12,32,1.0666666666666667
Acne Treatment,0.95,30,0,0,0,0,4,0,1,1,1,0,0,6,4,0,0,0,1,2,0,2,5,1,0,0,4,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,5,0,0.03333333333333333,0.16666666666666666,0.0,0.0,0,0.5555555555555556,3,1,12,32,1.0666666666666667
Face Moisturizer,0.95,56,0,0,0,0,12,0,0,0,0,0,0,22,6,0,0,0,4,4,0,8,4,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,2,12,2,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.4444444444444444,3,1.4444444444444444,3,8,9,66,1.1785714285714286
Face Moisturizer,0.95,18,0,0,0,0,3,0,1,0,0,0,0,7,3,0,0,0,0,2,0,3,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,7,0,0.05555555555555555,0.3888888888888889,0.0,0.5,3,1.375,3,2,9,23,1.2777777777777777
Face Serum,0.95,11,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0.0,0.2727272727272727,0.5454545454545454,1.0,3,2.3333333333333335,3,3,5,12,1.0909090909090908
Face Serum,0.95,21,0,0,0,0,1,0,2,0,1,0,0,3,0,0,1,0,0,2,0,2,2,2,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,2,3,0,0.09523809523809523,0.14285714285714285,0.0,0.0,0,0.0,0,0,10,20,0.9523809523809523
Exfoliant/Scrub,0.95,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,3,0.1,0.0,0.3,0.0,0,0.0,0,0,5,8,0.8
Face Cleanser,0.8461538461538461,25,0,0,0,0,1,0,1,0,1,0,0,4,3,0,0,0,4,2,0,2,3,3,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,5,4,0.04,0.2,0.16,0.5,2,1.3333333333333333,3,2,11,26,1.04
Brightening Treatment,0.95,31,0,0,1,0,3,0,2,0,0,0,0,10,2,0,1,0,7,1,0,3,2,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,8,3,0.06451612903225806,0.25806451612903225,0.0967741935483871,0.5714285714285714,3,0.8571428571428571,3,2,12,35,1.1290322580645162
Face Serum,0.95,24,0,0,1,0,5,0,2,1,0,0,0,0,2,0,1,0,3,1,5,1,4,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,4,4,1,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.0,0,0.0,0,0,12,27,1.125
